playlist_name,track_name,artists,album,duration_ms,spotify_id,spotify_url
Workout,Ykwim,"Karan Aujla, KR$NA, Mehar Vaani",Ykwim,194857,6qS40yL7kXVoChI8SSCQIQ,https://open.spotify.com/track/6qS40yL7kXVoChI8SSCQIQ
Workout,No Cap,KR$NA,No Cap,205423,1XdUEm2MwB6ysy6E80ltMg,https://open.spotify.com/track/1XdUEm2MwB6ysy6E80ltMg
Workout,Hola Amigo,"KR$NA, Seedhe Maut, Umair",FAR FROM OVER,226285,19pHSvXUwErAXFktkvYMk9,https://open.spotify.com/track/19pHSvXUwErAXFktkvYMk9
Workout,Sunn Na,Bali,Sunn Na,171162,7b8BHkjW0vfgT54yXp0Lvn,https://open.spotify.com/track/7b8BHkjW0vfgT54yXp0Lvn
Workout,Azadi,"Dub Sharma, DIVINE",Gully Boy (Original Motion Picture Soundtrack),155470,1NT0G4gcwljQk6o71vupty,https://open.spotify.com/track/1NT0G4gcwljQk6o71vupty
Workout,Baap Se,"Fotty Seven, KR$NA",Asli Independent,156037,2ZL0rLsGPUBjM6ygXOf3TG,https://open.spotify.com/track/2ZL0rLsGPUBjM6ygXOf3TG
Workout,Joota Japani,"KR$NA, Umair, Mukesh",Joota Japani,155076,3G0gdqt4LTreFwBYaymUhp,https://open.spotify.com/track/3G0gdqt4LTreFwBYaymUhp
Workout,Galat Launda,"Fotty Seven, MojoJojo",Galat Launda,141051,5sNftak2UpnGO890q3cqMl,https://open.spotify.com/track/5sNftak2UpnGO890q3cqMl
Workout,Baazigar,"DIVINE, Armani White",Gunehgar,169014,1T44wPr7LUlBY4vX6LlygG,https://open.spotify.com/track/1T44wPr7LUlBY4vX6LlygG
Workout,Rihaayi,Paradox,Mtv Hustle 2.0,168368,0jaeX4da4tK8LHTqbzy1c0,https://open.spotify.com/track/0jaeX4da4tK8LHTqbzy1c0
Workout,Khatta Flow,"Seedhe Maut, KR$NA",Lunch Break,152415,2qb5ASYergjk2qNLvYEQJD,https://open.spotify.com/track/2qb5ASYergjk2qNLvYEQJD
Workout,Bach Ke,"Talwiinder, Hasan Raheem, NDS",Bach Ke,173714,7euNoN3RtRhEK3qfqJLXFx,https://open.spotify.com/track/7euNoN3RtRhEK3qfqJLXFx
Workout,She Knows (feat. Amber Coffman & Cults),"J. Cole, Cults, Amber Coffman",Born Sinner (Deluxe Version),296520,0Fs9cdPDhptWEDJmiCbkEW,https://open.spotify.com/track/0Fs9cdPDhptWEDJmiCbkEW
Workout,First Class,Jack Harlow,Come Home The Kids Miss You,173947,0wHFktze2PHC5jDt3B17DC,https://open.spotify.com/track/0wHFktze2PHC5jDt3B17DC
Workout,SAD!,XXXTENTACION,?,166605,3ee8Jmje8o58CHK66QrVC2,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
Workout,Still D.R.E.,"Dr. Dre, Snoop Dogg",2001,270586,503OTo2dSqe7qk76rgsbep,https://open.spotify.com/track/503OTo2dSqe7qk76rgsbep
Workout,Candy Shop,"50 Cent, Olivia",The Massacre,209106,5D2mYZuzcgjpchVY1pmTPh,https://open.spotify.com/track/5D2mYZuzcgjpchVY1pmTPh
Workout,No Role Modelz,J. Cole,2014 Forest Hills Drive,292799,68Dni7IE4VyPkTOH9mRWHr,https://open.spotify.com/track/68Dni7IE4VyPkTOH9mRWHr
Workout,Tyler Herro,Jack Harlow,Thats What They All Say,156578,3w1WjD2zJqjBjDz5fwqQPJ,https://open.spotify.com/track/3w1WjD2zJqjBjDz5fwqQPJ
Workout,WHATS POPPIN,Jack Harlow,Sweet Action,139741,1jaTQ3nqY3oAAYyCTbIvnM,https://open.spotify.com/track/1jaTQ3nqY3oAAYyCTbIvnM
Workout,In Da Club,50 Cent,Get Rich Or Die Tryin',193466,7iL6o9tox1zgHpKUfh9vuC,https://open.spotify.com/track/7iL6o9tox1zgHpKUfh9vuC
